task,label,arm,run
T01,o1,dna,r1
T01,o2,baseline,r2
T01,o3,baseline,r1
T01,o4,dna,r3
T01,o5,baseline,r3
T01,o6,dna,r2
T02,o1,dna,r1
T02,o2,baseline,r2
T02,o3,baseline,r1
T02,o4,dna,r3
T02,o5,baseline,r3
T02,o6,dna,r2
T03,o1,dna,r1
T03,o2,baseline,r2
T03,o3,baseline,r1
T03,o4,dna,r3
T03,o5,baseline,r3
T03,o6,dna,r2
T08,o1,dna,r1
T08,o2,baseline,r2
T08,o3,baseline,r1
T08,o4,dna,r3
T08,o5,baseline,r3
T08,o6,dna,r2
T06,o1,dna,r1
T06,o2,baseline,r2
T06,o3,baseline,r1
T06,o4,dna,r3
T06,o5,baseline,r3
T06,o6,dna,r2
T07,o1,dna,r1
T07,o2,baseline,r2
T07,o3,baseline,r1
T07,o4,dna,r3
T07,o5,baseline,r3
T07,o6,dna,r2
T10,o1,dna,r1
T10,o2,baseline,r2
T10,o3,baseline,r1
T10,o4,dna,r3
T10,o5,baseline,r3
T10,o6,dna,r2
T12,o1,dna,r1
T12,o2,baseline,r2
T12,o3,baseline,r1
T12,o4,dna,r3
T12,o5,baseline,r3
T12,o6,dna,r2
